,name,url,price,rating,review,ASIN,Manufacturer,Product Description
140,"Nivia 5227 Pulse Junior Bag, Others (Orange) (Sky Blue)",https://www.amazon.in/Nivia-5227-Pulse-Junior-Others/dp/B08D7QG33Z/ref=sr_1_105?keywords=bags&qid=1685117296&sr=8-105,₹294,3.7 out of 5 stars,180,"FREEWILL SPORTS P LTD - PB, 391-392 Leather Complex Kapurthala Road jalandhar,144021 Punjab",‎FREEWILL SPORTS P LTD - PB,
141,"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women",https://www.amazon.in/Mokobara-Backpack-Leather-Resistant-Laptop/dp/B0B7X81X69/ref=sr_1_106?keywords=bags&qid=1685117296&sr=8-106,"₹7,499",4.5 out of 5 stars,51,B0B7X81X69,Designed By Mokobara Lifestyle Private Limited,
142,Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2Mzk5OTc3NjQ4NTYxMzY0OjE2ODUxMTcyOTY6c3BfbXRmOjIwMTE2ODc5MTczOTk4OjowOjo&url=%2FRed-Lemon-Ironlook-Briefcase-Anti-Theft%2Fdp%2FB09ZYQJHXR%2Fref%3Dsr_1_107_sspa%3Fkeywords%3Dbags%26qid%3D1685117296%26sr%3D8-107-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹4,990",4.4 out of 5 stars,80,B09ZYQJHXR,Encon Impex Pvt Ltd,
143,Red Lemon Unisex-adult Bange Series Rhombus Shell Design Waterproof Sling Bag with USB Charging,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2Mzk5OTc3NjQ4NTYxMzY0OjE2ODUxMTcyOTY6c3BfbXRmOjIwMTE2ODgyMTgxMDk4OjowOjo&url=%2FRed-Lemon-Unisex-adult-Waterproof-Charging%2Fdp%2FB09VGNTDRZ%2Fref%3Dsr_1_108_sspa%3Fkeywords%3Dbags%26qid%3D1685117296%26sr%3D8-108-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹1,999",4.4 out of 5 stars,73,BG7213,B09VGNTDRZ,
144,Arctic Hunter Backpack Premium Business Backpack for Men Office Travel Laptop Bag with 15.6 Inch Laptop Pocket Water/Scratch-resistant Multiple Pocket Padded College Backpack for Men,https://www.amazon.in/Backpack-Business-Scratch-resistant-Multiple-Comfortable/dp/B0B6FNPN76/ref=sr_1_109?keywords=bags&qid=1685117296&sr=8-109,"₹5,699",4.3 out of 5 stars,99,B00492,B0B6FNPN76,
145,"DERBEN CLOVE® 15.6 Men and Women Laptop, MacBook Shoulder Messenger Sling Office Bag - Grey",https://www.amazon.in/Derben-Fabric-Leather-Laptop-Messenger/dp/B08TVL3MWJ/ref=sr_1_110?keywords=bags&qid=1685117296&sr=8-110,₹899,4.1 out of 5 stars,144,Derben Clove,24 January 2021,
146,Red Lemon Arctic Hunter Mens Small Sling Bag Chest Bag Shoulder Bag Mobile Bag Side Bag with Earphone Port Water Resistant for Everyday Use Small Items and Small Electronic Product (Black),https://www.amazon.in/Red-Lemon-Shoulder-Resistant-Electronic/dp/B0BT82BKCN/ref=sr_1_111?keywords=bags&qid=1685117296&sr=8-111,"₹1,299",3.6 out of 5 stars,6,RL-AHXB13006-Blk,B0BT82BKCN,
147,"Sfane Polyester 9.05 Black Men & Women Trendy Black Sports Duffle Gym Bag, Shoulder Bag",https://www.amazon.in/Sfane-Women-Trendy-Black-Duffel/dp/B07GCR84D9/ref=sr_1_112?keywords=bags&qid=1685117296&sr=8-112,₹325,4.2 out of 5 stars,"1,026",Sfane,10 August 2018,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything. Big Compartment holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India."
148,Half Moon Valex Unisex School Bag/Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men & Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,https://www.amazon.in/Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67/ref=sr_1_113?keywords=bags&qid=1685117296&sr=8-113,₹549,4.4 out of 5 stars,16,B0C1NZLF67,Half_Moon,"Introducing a compact backpack that packs a punch with its unique trendy design and exceptional features. One of the standout features of this backpack is its fully secure 15-inch padded laptop compartment, which ensures your device stays safe during transit. The compartment is spacious enough to accommodate your laptop while also protecting it from scratches, bumps, and other potential damages. This backpack also features small pockets in the front compartment, which provide easy access to your essentials like your phone, keys, and wallet. The pockets make it easy to organize your smaller items so you don't have to dig through the main compartment to find what you need. Moreover, this backpack is built to last, with strong zippers and stitching that can withstand everyday wear and tear. Its compact size also makes it perfect for commuters or students who need to carry their essentials with them on-the-go. Overall, this backpack is a perfect blend of style, functionality, and durability. With its unique trendy design, secure 15-inch padded laptop compartment, and convenient pockets, it's the perfect backpack for anyone who values both form and function in a compact size."
149,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_114?keywords=bags&qid=1685117296&sr=8-114,₹549,3.9 out of 5 stars,"7,500",B088B4P6ZW,Martucci,
