name,url,price,rating,review
Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTM1NDgxOTM0NTgxNTk5OjE2ODUxMTc0MTY6c3BfYnRmOjIwMTE2ODc5MTczOTk4OjowOjo&url=%2FRed-Lemon-Ironlook-Briefcase-Anti-Theft%2Fdp%2FB09ZYQJHXR%2Fref%3Dsr_1_277_sspa%3Fkeywords%3Dbags%26qid%3D1685117416%26sr%3D8-277-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹4,990",4.4 out of 5 stars,80
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTM1NDgxOTM0NTgxNTk5OjE2ODUxMTc0MTY6c3BfYnRmOjIwMTI0MzExMDI0ODk4OjowOjo&url=%2Fuppercase-Backpack-2300EBP1-resistant-sustainable%2Fdp%2FB0BWNCV31F%2Fref%3Dsr_1_278_sspa%3Fkeywords%3Dbags%26qid%3D1685117416%26sr%3D8-278-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹1,600",4.1 out of 5 stars,440
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTA3MTkzMjI1Mzg0MDk0OjE2ODUxMTc0Mjg6c3BfYXRmX25leHQ6MjAwMzQzOTk5NjA0OTg6OjA6Og&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_273_sspa%3Fkeywords%3Dbags%26qid%3D1685117428%26sr%3D8-273-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,₹529,3.9 out of 5 stars,"15,936"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTA3MTkzMjI1Mzg0MDk0OjE2ODUxMTc0Mjg6c3BfYXRmX25leHQ6MjAwOTI1MjU5Nzk2OTg6OjA6Og&url=%2FNumber-Backpack-Compartment-Charging-Organizer%2Fdp%2FB09VTCNN75%2Fref%3Dsr_1_274_sspa%3Fkeywords%3Dbags%26qid%3D1685117428%26sr%3D8-274-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,₹699,4.0 out of 5 stars,"4,037"
Gear Superior 16LWater Resistant School Bag//Backpack/College Bag for Men/Women - Black,https://www.amazon.in/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96/ref=sr_1_275?keywords=bags&qid=1685117428&sr=8-275,₹399,3.9 out of 5 stars,277
HARISSONS Bags Volt 15.6 inch Office Laptop Backpacks for Men and Women,https://www.amazon.in/Harissons-Office-Laptop-Backpacks-Women/dp/B09D3YYYNG/ref=sr_1_276?keywords=bags&qid=1685117428&sr=8-276,"₹1,504",4.1 out of 5 stars,247
SBCOLLECTION Premium School College Office Laptop Daily Use Backpack for All Day Traveler,https://www.amazon.in/SBCOLLECTION-Premium-Backpack-Water-Resistance-Business/dp/B0BXL5B1J4/ref=sr_1_277?keywords=bags&qid=1685117428&sr=8-277,₹229,3.3 out of 5 stars,13
F Gear Burner P8 19 Ltrs White Casual Laptop Backpack,https://www.amazon.in/F-Gear-Burner-Casual-Laptop-Backpack/dp/B016115VXW/ref=sr_1_278?keywords=bags&qid=1685117428&sr=8-278,₹707.04,4.3 out of 5 stars,"3,955"
"FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook",https://www.amazon.in/Backpack-Business-Backpacks-Charging-Resistant/dp/B094DGXXR5/ref=sr_1_279?keywords=bags&qid=1685117428&sr=8-279,"₹1,099",4.1 out of 5 stars,156
Lino Perros womens handbag,https://www.amazon.in/Lino-Perros-Womens-Floral-Peach/dp/B0B57B7KV7/ref=sr_1_280?keywords=bags&qid=1685117428&sr=8-280,"₹1,389",4.1 out of 5 stars,"3,273"
F Gear Bi Frost 47 cms Casual Laptop Backpack (2472) - Grey,https://www.amazon.in/F-Gear-Bi-Frost-Backpack-Grey/dp/B01JGD0FYM/ref=sr_1_281?keywords=bags&qid=1685117428&sr=8-281,₹699,4.0 out of 5 stars,267
Aristocrat Draw-Pack 15L Unisex Grey Laptop Bags,https://www.amazon.in/Aristocrat-Draw-Pack-Unisex-Grey-Laptop/dp/B0B5YGP1BV/ref=sr_1_282?keywords=bags&qid=1685117428&sr=8-282,₹499,4.3 out of 5 stars,12
MOKOBARA The Transit Backpack Laptop Bag for Men and Women,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTA3MTkzMjI1Mzg0MDk0OjE2ODUxMTc0Mjg6c3BfbXRmOjIwMTE1MTA0OTA3ODk4OjowOjo&url=%2FMokobara-Transit-Backpack-Laptop-Sunray%2Fdp%2FB09V7R98XC%2Fref%3Dsr_1_283_sspa%3Fkeywords%3Dbags%26qid%3D1685117428%26sr%3D8-283-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹5,999",4.5 out of 5 stars,592
